3 | : | What
3 | : | This
3 | : | One
3 | : | Just
3 | : | D
3 | : | 2
3 | : | /
3 | : | (
3 | 3 | @
3 | 2 | followers
3 | ) | http
3 | ) | @
3 | 've | been
3 | 's | so
3 | 's | #
3 | 'm | still
3 | 'm | gon
3 | # | Leo
2 | 😴 | RT
2 | 😊 | RT
2 | 😂 | RT
2 | 💯 | RT
2 | 👌 | RT
2 | … | @
2 | ” | @
2 | — | I
2 | yourself | but
2 | your | thoughts
2 | your | past
2 | your | bedroom
2 | your | bad
2 | you | were
2 | you | wanted
2 | you | to
2 | you | talk
2 | you | something
2 | you | so
2 | you | said
2 | you | or
2 | you | need
2 | you | love
2 | you | just
2 | you | is
2 | you | get
2 | you | for
2 | you | did
2 | you | became
2 | you | :
2 | you | 'd
2 | you | #
2 | years | and
2 | year | with
2 | xxopcye | :
2 | would | never
2 | would | n't
2 | work | with
2 | with | this
2 | with | these
2 | with | that
2 | with | no
2 | with | an
2 | with | a
2 | with | @
2 | with | #
2 | will | still
2 | will | not
2 | why | you
2 | where | i
2 | when | people
2 | when | it
2 | when | i
2 | what’s | wrong
2 | what | an
2 | weird | that
2 | was | like
2 | was | just
2 | was | in
2 | wake | up
2 | waiting | for
2 | via | @
2 | very | outgoing
2 | us | alone
2 | up | on
2 | up | my
2 | up | #
2 | unfollowers | via
2 | unfollowers | and
2 | u | 're
2 | two | personalities
2 | trying | to
2 | true | http
2 | to | work
2 | to | watch
2 | to | this
2 | to | tell
2 | to | talk
2 | to | someone
2 | to | redecorate
2 | to | learn
2 | to | know
2 | to | keep
2 | to | him
2 | to | good
2 | to | face
2 | to | eat
2 | to | come
2 | to | captain
2 | to | bed
2 | to | another
2 | to | Facebook
2 | to | 'Just
2 | time | to
2 | this | week
2 | this | and
2 | this | #
2 | think | about
2 | thing | I
2 | they | just
2 | they | do
2 | these | days
2 | there | was
2 | there | for
2 | there | 's
2 | then | you
2 | then | i
2 | then | freezing
2 | them | to
2 | them | off
2 | them | in
2 | their | ex
2 | the | way
2 | the | teacher
2 | the | shit
2 | the | rest
2 | the | point
2 | the | one
2 | the | car
2 | the | Perth
2 | the | Lost
2 | the | 'reset
2 | the | #
2 | that | show
2 | that | shit
2 | that | is
2 | that | im
2 | that | i
2 | text | you
2 | text | message
2 | teacher | wants
2 | tbhjuststop | :
2 | talking | to
2 | talking | shit
2 | talking | about
2 | take | a
2 | such | a
2 | stay | dry
2 | start | talking
2 | stare | at
2 | something | to
2 | someone | and
2 | some | people
2 | so | good
2 | so | fucking
2 | so | far
2 | so | busy
2 | so | bad
2 | so | RT
2 | sleep | in
2 | sleep | for
2 | sit | back
2 | shy | moody
2 | shit | together
2 | shit | about
2 | shit | I
2 | she | did
2 | she | 's
2 | seen | the
2 | seems | to
2 | see | what
2 | see | a
2 | see | @
2 | secret | new
2 | say | that
2 | say | it
2 | say | I
2 | rp | jfb
2 | rest | of
2 | remember | when
2 | reinvent | yourself
2 | redecorate | your
2 | received | a
2 | really | gay
2 | realize | you
2 | realize | it
2 | real | RT
2 | quirky | The
2 | problem | with
2 | pretty | sure
2 | playing | with
2 | play | me
2 | play | it
2 | photo | to
2 | phone | stay
2 | personalities | One
2 | people | to
2 | own | #
2 | over | the
2 | outgoing | funny
2 | out | the
2 | out | if
2 | other | is
2 | or | die
2 | or | #
2 | opposite | of
2 | openfollow | for
2 | one | thing
2 | on | I
2 | oh | I
2 | of | your
2 | of | twitter
2 | of | this
2 | of | being
2 | now | RT
2 | not | fair
2 | no | one
2 | next | year
2 | new | photo
2 | new | own
2 | new | clothes
2 | never | be
2 | needs | to
2 | need | you
2 | need | it
2 | n't | want
2 | n't | wan
2 | n't | the
2 | n't | play
2 | n't | need
2 | n't | my
2 | n't | get
2 | n't | ever
2 | n't | believe
2 | n't | a
2 | myself | I
2 | my | twitter
2 | my | tweets
2 | my | sleeve
2 | my | pussy
2 | my | phone
2 | my | night
2 | my | mouth
2 | my | heart
2 | my | god
2 | my | friend
2 | my | first
2 | my | eyes
2 | my | dad
2 | my | bed
2 | my | baby
2 | my | @
2 | moody | and
2 | mean | to
2 | mean | the
2 | mean | @
2 | me | you
2 | me | what
2 | me | if
2 | me | happy
2 | make | me
2 | lucky | I
2 | love | your
2 | love | to
2 | love | this
2 | love | it
2 | love | is
2 | lost | in
2 | looks | like
2 | look | like
2 | lol | I
2 | location | http
2 | lmao | 😂
2 | live | without
2 | like | this
2 | like | my
2 | like | hitting
2 | like | I
2 | life | so
2 | life | is
2 | life | and
2 | knows | how
2 | know | you
2 | know | it
2 | kid | i
2 | just | realized
2 | it | …
2 | it | will
2 | it | when
2 | it | weird
2 | it | needs
2 | it | makes
2 | it | goes
2 | it | go
2 | it | all
2 | is | very
2 | is | this
2 | is | that
2 | is | shy
2 | is | my
2 | is | just
2 | is | it
2 | into | the
2 | insta | pics
2 | in | this
2 | in | love
2 | in | http
2 | if | u
2 | if | only
2 | if | im
2 | if | I
2 | i | was
2 | i | remember
2 | i | miss
2 | i | have
2 | how | do
2 | how | I
2 | hot | then
2 | hope | you
2 | hold | on
2 | hitting | the
2 | high | is
2 | here | :
2 | have | two
2 | have | n't
2 | have | an
2 | hate | when
2 | hate | it
2 | haha | I
2 | god | I
2 | go | back
2 | give | me
2 | girl | is
2 | girl | I
2 | get | you
2 | get | lost
2 | funny | and
2 | fucked | up
2 | fuck | my
2 | fuck | all
2 | for | them
2 | for | rp
2 | for | being
2 | for | Halloween
2 | for | #
2 | follower | No
2 | followed | 2
2 | follow | me
2 | first | place
2 | find | out
2 | feelings | for
2 | feel | better
2 | expected | to
2 | ex | dat
2 | ever | just
2 | end | of
2 | dressing | up
2 | do | when
2 | do | it
2 | day | RT
2 | day | @
2 | dat | bitch
2 | dance | for
2 | completely | reinvent
2 | come | home
2 | clothes | &
2 | captain | England
2 | can | talk
2 | can | be
2 | buy | new
2 | button | for
2 | but | then
2 | but | that
2 | but | she
2 | but | not
2 | but | no
2 | but | i
2 | boy | :
2 | both | of
2 | bitch | tried
2 | birthday | @
2 | best | friend
2 | believe | she
2 | being | a
2 | bedroom | &
2 | be | my
2 | be | mean
2 | be | like
2 | be | a
2 | back | and
2 | baby | girl
2 | aw | aw
2 | avekyt_ | :
2 | available | in
2 | at | you
2 | at | school
2 | at | least
2 | as | the
2 | as | a
2 | around | u
2 | antisocial | RT
2 | and | they
2 | and | the
2 | and | that
2 | and | still
2 | and | quirky
2 | and | one
2 | and | never
2 | and | just
2 | and | it
2 | and | do
2 | and | antisocial
2 | and | add
2 | and | @
2 | an | amazing
2 | am | I
2 | always | in
2 | allergic | to
2 | all | over
2 | after | their
2 | after | the
2 | actin | like
2 | about | you
2 | about | to
2 | a | woman
2 | a | mf
2 | a | low
2 | a | girl
2 | a | couple
2 | _YGTYB | :
2 | Whore | Whore
2 | When | you
2 | What | is
2 | What | do
2 | What | are
2 | WakeBaked | :
2 | UP | CAP
2 | Today | was
2 | There | are
2 | The | worst
2 | The | prettiest
2 | The | other
2 | The | opposite
2 | The | Same
2 | The | Heavens
2 | The | Dream
2 | That | bitch
2 | Thanks | for
2 | TO | THE
2 | TO | GAIN
2 | SincerelyTumblr | :
2 | Shout | out
2 | She | 's
2 | Rugby | :
2 | Robshaw | expected
2 | RT | S
2 | Photo | :
2 | One | is
2 | ONEJuryea | :
2 | Nothing | Was
2 | No | I
2 | MY | NIGGA
2 | ME | @
2 | Lmao | :
2 | Leo_h_t | :
2 | Leo | seems
2 | Jenna | is
2 | I | would
2 | I | work
2 | I | wonder
2 | I | told
2 | I | tell
2 | I | should
2 | I | run
2 | I | posted
2 | I | mention
2 | I | mean
2 | I | hope
2 | I | had
2 | I | go
2 | I | fucking
2 | I | felt
2 | I | dont
2 | I | be
2 | I | always
2 | I | actually
2 | Heavens | Are
2 | Have | you
2 | Happy | birthday
2 | Getting | high
2 | Follow2BeFollowed | #
2 | Facebook | http
